age,gender,driving_experience,vehicle_age,annual_mileage,total_claims_cost
50,0,29,0,24045,18214.426599286864
22,0,4,2,7064,5940.4109148356465
59,1,17,18,8253,10264.319913843989
56,1,35,6,17828,15094.307850704314
58,1,13,11,6401,10391.848244173969
45,1,41,14,24643,17974.127915924917
24,0,39,4,20193,11734.122140044452
26,1,15,14,17096,11083.538268164903
25,0,29,7,9214,7684.775648428759
29,0,29,9,24611,16573.412619208782
51,1,11,15,16023,13594.938823796543
50,0,32,7,16950,14852.21582748663
65,0,2,0,15704,14128.918823226255
40,0,47,11,15343,11959.353738882193
41,0,14,4,16867,12687.719420700958
54,1,20,2,7745,9854.972500773143
52,1,22,0,8866,10153.975174670657
61,1,11,3,16956,14210.446125371682
57,1,27,7,10818,11633.401899098117
39,0,3,2,23606,17165.337119032036
44,0,17,9,21093,14939.865586851562
52,1,44,1,24176,18478.361697231874
18,1,28,10,20493,11808.162150715103
52,1,29,9,22908,17885.895912284832
54,0,21,13,13224,12375.837304905777
64,1,47,6,9025,12183.54412910147
31,1,16,1,23950,14729.2371991159
20,1,37,8,24187,15168.926400088354
18,0,20,15,11155,7773.174852129281
22,0,6,12,18839,11741.975908516688
43,0,19,8,5719,8000.4930031975155
31,0,5,19,19890,13499.807261801492
56,0,3,3,22356,17118.190724108157
44,0,1,9,23591,16390.079340678323
26,0,38,11,9426,8436.746840623637
32,0,15,16,17512,12958.543235676701
32,1,34,13,20064,14076.99077270443
43,1,35,13,18767,14225.475106999113
59,0,49,1,16308,14797.843867035104
30,0,25,19,16477,12906.069589916719
68,1,24,10,17903,16539.586542038276
49,0,12,15,13680,12007.550773294763
56,0,18,18,7204,10302.780304193859
66,0,15,5,24660,19614.15779246957
69,1,44,18,6102,11580.999537898906
49,1,16,4,10243,9922.581399814357
21,1,27,3,11614,8145.804502857052
47,1,8,14,21299,15541.085391806495
54,1,46,3,13707,13033.176043966903
40,0,25,19,18913,14795.959592571868
56,1,17,9,5630,9123.092402365506
62,0,29,2,16908,15481.60847857858
32,0,8,4,15847,12080.509571185761
60,1,15,5,14171,13829.945466245816
46,1,27,7,17721,14089.599187501957
53,0,46,6,21661,16638.55741197375
30,0,7,9,21616,13860.726495764566
49,0,3,5,14744,12351.147466160886
24,1,29,13,10690,9079.564913668057
68,1,44,3,18401,16906.834032946954
39,1,24,12,12659,10691.402022555778
45,1,3,19,15601,12514.053557136387
19,1,20,16,16704,11047.210895539387
59,0,46,6,5025,9957.49378110855
62,1,15,3,20384,17527.50965288756
23,0,25,13,18705,12439.615700985167
45,0,30,2,13652,11963.628409618701
45,0,14,4,18379,13482.529146921308
61,1,7,15,12006,13612.596284549732
61,1,17,19,24867,18692.998580921958
37,1,44,3,23378,16894.831155890275
47,0,20,1,13682,11788.332023493766
28,0,36,17,6072,6766.31675307984
45,0,9,18,5215,7272.498214057036
42,0,38,18,14915,14162.524324703567
56,0,48,16,14784,14542.745811639197
50,0,22,13,23990,17835.64021855203
18,1,2,18,19824,12685.366179777271
44,1,24,12,8313,9021.083637185018
69,1,8,11,16033,15357.422977615503
30,1,11,5,14968,10832.168143406061
58,0,13,3,21241,16514.427133825935
20,0,17,18,10939,8949.319039592958
56,1,8,15,19696,15898.672794252048
23,0,21,12,19794,12200.433973315585
25,1,18,3,7295,6396.751318239563
44,1,30,16,6696,8902.589335856948
26,1,18,0,16185,10555.753383056195
54,0,46,17,23330,18087.702603414782
50,1,47,19,17001,14687.37048093698
68,1,31,16,19350,18135.61783003348
59,1,38,14,24167,18869.920988677146
61,0,32,10,8644,12076.558509275515
41,0,11,12,11420,10082.524780925833
32,1,45,0,16837,12631.00706812827
49,0,25,16,24029,17671.378662890125
49,0,33,5,11353,11763.541585145236
41,0,38,3,15541,12161.36292271736
58,0,41,19,6932,11027.429739788617
69,0,8,15,16486,15809.934700154841
66,0,11,14,6757,10298.504091611276
66,0,22,14,10085,12419.389257644925
69,0,24,5,10637,13615.427470516088
29,0,41,14,6116,7266.922252440392
56,0,17,13,15759,13858.13599204368
19,1,12,10,16691,10133.153358585943
20,1,46,6,5492,6048.702136715498
66,0,32,8,13811,14483.422623505343
54,1,15,15,11474,12184.510347544112
66,1,16,4,19385,15951.387630155079
34,0,22,19,14738,11192.86977355425
66,0,28,9,18979,17492.939599625948
19,0,20,17,16755,11353.17082338967
19,1,33,2,14797,10235.200425618781
45,1,10,12,19607,14332.156483946022
40,0,40,10,17867,13543.00640083554
54,0,32,16,24127,19079.129329096046
49,0,33,12,12866,12872.188827382575
50,1,2,5,20449,14820.340256485473
18,1,33,16,15685,10092.814752073577
36,1,33,12,10451,9741.203514643777
19,1,41,18,13548,9584.325773311997
61,0,13,18,12186,12582.911560476987
43,0,30,9,11102,10095.310876786303
49,0,33,2,5619,8195.283075859817
23,0,13,13,5882,5313.652628683567
49,1,26,18,8642,9683.299548495383
21,1,22,4,6296,5907.195923283152
28,0,39,4,19122,13233.400882856311
34,0,2,19,7895,8199.939340766066
55,1,38,16,22313,17021.983282325345
41,0,39,9,10366,10337.940304914882
22,1,26,4,13711,10683.318771082919
69,0,46,3,24596,20021.8637578572
51,0,15,5,23793,17858.874503286148
23,0,34,3,13199,10077.503424387212
39,0,42,6,15717,13211.099304000638
28,0,44,6,8423,8154.830843528662
65,0,49,17,15211,15878.542991372107
33,0,40,2,17782,13400.506810006504
50,1,11,0,17474,14224.723014157178
26,1,3,3,8667,6474.7909132433015
23,1,6,5,13277,8304.807758728006
33,1,9,8,17424,11605.208228292597
46,1,6,13,23852,16850.920003808667
20,0,9,11,23020,14316.963367211321
37,0,39,19,13155,11075.294361244207
53,1,31,3,8583,10713.485229292202
36,0,32,11,20515,14576.362412746057
43,1,41,9,9009,9598.12239440296
20,1,12,6,24710,14306.9465020602
36,0,8,2,15410,10582.606820491863
37,0,8,13,23601,16165.157064217323
49,0,28,9,9967,11569.833856419285
24,1,20,15,23753,15045.167738233718
69,0,47,15,15695,15212.184179152573
58,1,7,9,14135,13617.671405808223
50,1,11,12,10722,10078.601004948505
57,1,20,5,20514,15852.482801505408
56,0,16,11,16128,14194.830913843214
35,0,4,8,9444,8603.4217192701
57,1,6,12,12618,11934.667999416586
18,0,22,3,23060,13721.341971717009
28,0,26,10,6196,7075.581200380342
45,0,3,19,17297,14204.589442404009
42,1,41,17,7787,9999.228210907133
67,1,42,10,12927,15208.209326146747
40,0,14,3,24702,17125.94466083056
48,1,11,17,7176,8959.63174279788
47,0,18,0,13792,12385.656895561486
59,0,12,6,14171,13638.858117002592
52,0,23,5,7451,9788.683488763127
24,0,12,14,5628,5962.609392535843
33,1,13,17,14821,10974.472948923047
43,1,25,10,12778,10924.951796089035
65,1,45,19,8696,12219.440899462428
69,0,19,14,24149,19848.955037923188
66,0,46,15,17972,16616.279538534145
19,0,36,6,13307,9665.170974304288
18,1,45,9,9956,8938.382952019594
65,0,8,11,15195,13715.334640360872
29,1,29,13,22076,15149.12223878188
22,1,32,4,24546,15150.012689554595
54,1,44,17,6105,10017.827777667328
49,1,18,4,24392,17310.642649769856
26,1,6,2,23545,14429.470057476416
58,1,18,4,20417,16503.25022550405
52,0,19,16,19188,15503.18305823237
36,0,22,18,17602,12620.729341315051
65,1,37,18,14256,14741.042484677773
33,1,32,11,19212,13117.783185901902
20,0,41,8,6913,6843.096555290154
37,1,3,0,15593,10573.72744946094
41,1,28,17,6772,9020.327189727945
50,0,10,3,24164,17586.78150010174
41,1,35,9,17996,14234.694307866946
69,1,29,6,7871,10463.345066076081
28,1,15,0,18234,12002.700280954221
66,0,33,16,22044,19338.78171432993
25,0,7,1,15521,10171.196010484853
53,0,12,10,15642,13121.968925018144
55,1,49,8,6132,9417.664952497144
57,1,30,6,5699,9245.36118868033
37,0,21,16,19534,13941.314774843595
52,1,31,16,15230,14481.908616044646
65,1,24,1,11297,12576.166235004805
42,1,20,5,17839,13341.715326026037
52,1,37,13,12812,12035.32823658221
42,1,4,5,9557,9400.72330263947
46,0,28,1,7179,9010.333147355681
35,1,44,0,16030,11948.895546907654
63,0,20,9,14065,12884.335485842927
35,1,24,4,13275,10892.881094787943
19,0,49,1,22806,14219.5983043695
52,1,32,15,20089,16452.535583962836
33,0,41,1,8180,9218.587266819819
58,1,36,9,11696,12574.58407814547
53,0,34,1,14583,13044.580691578614
50,1,36,15,21998,16545.33901617583
21,0,2,15,18869,11868.289104252475
50,1,15,18,16757,14248.78867480782
31,0,34,6,21654,14813.65371029938
38,0,36,11,17258,14340.73267003355
65,1,6,14,7468,10973.542782732971
37,1,39,7,19208,14176.599564246395
25,0,42,5,20042,13157.719710583264
24,1,12,9,20639,13312.83638189166
20,0,3,2,16546,9939.495920808671
34,0,45,18,17327,13593.415539768954
50,0,18,16,19270,15718.706963452421
65,1,40,6,20523,17583.273888614276
29,0,21,19,19300,13224.856777967429
68,0,15,3,24991,18592.85157633255
39,1,33,13,15775,13359.418363210196
39,1,35,19,17265,13954.15019512264
63,1,26,14,24459,19633.30864079239
47,1,8,7,21673,15075.82383211135
55,0,36,14,11614,13136.919349870028
55,0,48,19,8252,10923.39156669096
62,0,30,13,12415,13253.102348650256
68,0,23,8,21662,17796.356572290588
25,1,42,7,16116,10664.527134330076
44,0,44,16,21964,17320.673155861783
44,0,14,1,9958,10332.298684698811
51,1,14,2,9276,9945.235924323337
38,0,2,7,9776,8598.307715096826
47,0,37,11,22208,16685.47791543287
50,0,5,0,8832,9341.192504982226
45,0,38,9,19901,14880.570138910201
64,0,45,19,10445,12946.37239227808
50,0,41,2,6380,9146.550996467162
22,1,47,5,14865,11181.578623824376
65,1,14,6,18926,16380.122082006856
36,0,39,19,24540,16431.824145550283
21,0,25,17,16580,11576.773931599339
52,1,20,10,10634,11039.034719165124
66,0,2,18,10810,13270.204846991934
34,0,39,4,15179,12604.228901022005
61,0,6,18,17251,16117.72715613365
45,1,17,10,18131,13874.706032313361
47,0,25,11,24493,18771.42753666878
46,1,28,9,17707,14408.971252447853
63,0,2,7,24624,19675.190202834317
23,1,35,8,23233,14555.19019308412
52,1,37,3,7749,9705.201631195187
58,0,5,4,18156,15235.013676336042
54,1,1,7,21589,16450.43880480697
41,0,40,8,8450,9992.405971734584
46,1,12,14,12214,11200.935340725773
66,0,36,14,16814,16729.30749515518
63,0,45,15,10141,13086.617253566326
48,1,23,13,7708,9347.303890696427
52,0,47,7,23375,18364.838308741157
50,0,31,17,20088,15937.367476583475
69,1,11,9,16834,16932.10290000286
38,0,10,19,17278,11876.833839462777
49,0,3,5,15014,12953.47160224752
40,1,14,11,8273,7814.202045361477
50,1,16,1,19367,14870.671648390966
20,0,10,6,9538,7106.195955264377
35,0,29,15,17541,14054.316779456842
42,1,10,2,13712,10919.923893961555
59,1,12,12,14168,14188.005957830888
48,0,30,2,8551,9146.091679887602
20,1,41,17,17297,12601.834861877433
57,0,1,10,15965,13765.327279048264
63,0,5,7,7832,10562.71725962056
41,0,20,5,18422,13692.810668444798
67,0,8,0,5152,10077.181737057803
49,0,43,0,16156,14381.869921616873
64,1,12,7,16108,15075.750860292263
39,1,1,4,7800,7314.065807706613
40,1,20,15,10310,9597.489065984879
19,1,28,10,14944,9667.711737246937
44,0,43,4,7610,8060.928556603918
59,0,37,3,17067,15894.159050925024
19,0,47,5,6104,5878.088236828651
43,0,37,13,15728,13124.75301785385
34,1,12,18,12263,11009.55111671278
57,0,37,8,6914,9899.005698806815
50,0,49,11,24456,18117.764532157034
26,1,49,10,5406,6420.627189742508
60,1,44,13,18689,15998.165474061552
65,1,28,15,5166,10215.177884643977
56,1,47,0,5508,9057.168960867915
46,0,15,12,23045,16528.864294703093
59,0,6,12,8664,10415.048413989849
43,1,44,1,24873,17543.389253078993
52,0,20,3,18050,14756.740562759926
67,0,14,5,5680,9710.012455796239
42,0,2,4,23908,16134.617031952426
41,1,9,2,23504,16001.238586590325
30,0,37,0,9357,8327.290932230231
24,1,20,3,6363,6037.037983437507
53,0,26,19,14523,13313.164598375994
62,0,29,1,7292,10958.296454563246
37,0,1,4,6538,7157.414088704759
18,1,35,2,8408,6462.076623587562
25,0,6,8,13752,9908.192108689267
63,1,37,19,23287,19166.315700590643
33,1,5,5,5174,5220.086822758166
31,1,33,17,7230,8005.476345110813
29,0,49,5,9287,8163.746898807906
68,0,14,18,17112,16643.213891615655
40,0,12,11,12106,10502.125180553276
32,0,42,10,14689,12074.535148695531
45,1,20,1,17046,13087.890723401197
51,1,24,14,24555,18262.46463357032
19,1,43,11,22951,15120.621750253438
49,0,34,11,6151,8850.991726792588
40,1,25,8,12619,10704.091450632097
39,0,29,1,11033,10354.020306890894
68,1,39,2,13560,14687.83079837548
42,0,31,11,9946,9848.625433292591
39,0,47,15,6907,7750.769489791119
39,1,43,0,8490,8649.988511250822
66,1,23,2,23919,19368.17976084321
69,1,44,19,9173,12498.982905288138
59,1,38,1,16065,14667.031081491903
23,0,20,8,22677,13949.757531016829
32,1,23,18,9769,8068.416418736975
60,1,45,14,9796,11830.259411480036
54,1,16,17,18046,15539.566010344855
50,0,42,10,19211,14560.373759967093
25,0,8,15,24356,15414.083675237787
61,1,21,16,9997,11355.465384300292
61,0,1,4,22376,17732.221034737096
22,1,8,11,13112,9553.159467936826
56,0,29,10,10287,11537.526032544361
21,0,32,14,15578,10864.165920609388
23,0,38,2,23624,14528.81865143185
62,0,5,0,22860,17057.208299947517
49,1,47,19,11426,12922.046453166866
69,1,22,15,16599,15606.964286414435
47,1,47,1,5389,9098.398065598236
64,0,34,1,5999,9679.749980099912
52,1,1,2,17812,14398.595195168864
57,1,26,7,20599,16110.596420173182
69,1,43,14,6855,11819.197508451007
33,0,10,6,13125,10079.706321423439
30,0,30,5,18794,12990.741919662165
67,0,18,8,7763,11486.511584892225
59,1,17,19,9986,11518.429317460452
47,1,26,0,6481,7696.4257522774515
36,1,8,7,8731,8666.152781704726
34,0,47,2,21835,14744.549705008836
36,0,40,3,24477,16986.758642198954
45,1,49,14,22266,17469.4982726665
43,0,12,5,15758,12381.25305682389
54,0,27,14,24661,19281.676422045894
43,0,8,2,21311,15416.391853930641
40,0,25,13,13566,11325.069289927613
26,1,46,19,16889,13185.214501133038
29,0,4,13,16254,10926.164089130305
18,0,33,3,16442,10582.649785048217
18,0,1,11,18521,11307.342598190335
64,0,19,16,9559,12342.111850509127
51,1,31,6,21199,17007.216648690566
49,1,16,8,12291,12081.895778451357
65,0,14,2,13160,13531.874159787154
42,0,48,12,5112,7935.865447768217
57,0,5,14,24581,17597.507879186185
62,0,41,17,20924,17334.927072772392
18,0,26,18,21523,14504.827744645718
33,0,28,0,6424,6153.964006248731
56,1,2,5,24333,17514.254678378944
22,0,6,1,24552,15198.303141025044
39,1,9,13,15808,12428.856649598683
46,1,33,5,11043,11345.522535502847
20,0,41,13,11989,9475.914175635338
29,1,25,3,11261,9805.291268680443
43,1,48,7,5887,8511.213643282443
33,1,13,2,24488,16145.723864575755
68,1,9,18,21433,17824.37673397083
54,1,13,13,24944,18765.16648778907
39,1,31,19,21402,15542.936951005386
46,0,41,16,17253,14299.947066009643
31,1,11,7,23990,15922.361757323568
45,1,4,13,12846,11793.811688029682
22,1,34,5,11432,9540.221077873066
64,0,38,15,18452,17647.6315927431
66,1,46,18,18395,17666.157580679388
47,0,4,13,8765,8692.277194881644
63,1,38,18,23822,20374.84049147485
69,0,19,2,20950,18273.98383533318
22,0,6,9,17502,10958.069954956849
29,1,34,18,14741,11804.954577781391
33,1,18,8,10941,8801.867129518636
43,0,13,19,9855,10366.81506005487
43,1,41,12,20166,14854.864979462951
65,0,23,6,24145,18808.390795606683
38,0,19,13,10788,10318.964564600263
56,0,45,8,5201,9876.943371496447
53,0,11,18,15561,14003.218429716906
50,0,1,14,21901,16247.415681656015
47,1,24,19,12737,11011.066852491505
54,0,7,13,6988,9319.48945017432
40,0,25,5,20441,15137.242538412263
27,1,21,3,16737,11370.117447032177
22,0,15,7,19256,12326.71102945279
53,1,1,16,12162,11738.19126604104
51,1,12,8,18065,14401.646891089284
69,1,7,0,19114,16584.938694979905
48,0,15,19,13399,12233.15270892377
27,0,21,13,10633,9548.14477681597
36,0,19,10,10755,8554.290575808134
49,1,29,2,15825,13129.578707014462
18,0,25,8,9117,6663.371888241388
22,1,33,13,6518,6568.555300017205
62,0,49,8,21346,18131.57239294156
21,1,32,3,7600,7391.096550774714
33,0,49,3,18237,14464.071024148898
41,0,35,7,23579,16412.95827221476
33,0,44,1,8554,8487.250032516815
19,1,38,8,21193,13544.652208462177
66,1,26,13,24233,19177.593125831332
45,0,11,8,20253,15400.691018018812
49,0,35,15,21194,16527.24631561753
44,1,8,16,6742,7827.182574699511
37,1,46,15,6306,8033.215847866729
41,1,14,11,8849,8585.662713629676
29,0,10,2,17360,12358.323414709628
67,1,2,10,17768,16824.779627556836
52,0,46,13,18032,15648.40968694727
50,1,9,17,9195,10293.138384026637
50,0,3,4,23939,17225.71738343709
68,1,21,15,23689,20055.617014469157
60,1,26,19,12619,13929.849501798592
54,1,8,4,14280,12712.173215725885
29,1,48,2,7642,7817.2949636895455
20,1,2,11,14369,9830.82320358854
18,0,6,0,19296,10999.156271724632
50,1,28,8,20438,16575.304118710228
57,1,29,8,20674,17674.415945613615
27,1,26,3,9757,8721.016052419729
60,0,25,2,7994,9934.203044192722
61,1,12,16,20226,15897.999772290563
46,0,5,1,6271,8219.859336758966
30,1,34,0,6813,6656.405275518957
29,1,48,7,23845,16086.066677061493
48,0,37,12,13475,13405.074360003775
63,1,15,14,9396,11339.522411800795
19,0,44,7,14283,9942.72267179552
68,0,36,11,18318,17147.361486294158
67,1,15,11,22200,17731.245180008886
52,0,43,13,5082,8612.071901997062
40,1,48,14,6920,8802.428751875635
34,1,23,14,12817,10488.272565591124
43,0,6,8,16683,13305.703876899614
25,0,46,18,16336,13510.989807219634
46,0,44,19,20596,16397.569169709062
43,0,43,7,7093,8495.644026980995
27,1,45,18,17905,13751.620177378782
43,1,21,5,13367,10709.090762339889
51,0,23,19,10285,10578.045914485447
68,1,43,18,15896,15800.448280676139
58,1,16,3,9937,10987.056639740187
24,1,47,6,21753,14036.963631741395
21,1,15,3,23202,14025.243837788488
67,0,25,11,23485,19409.870951373174
62,0,36,12,17977,16802.979767637567
28,1,11,2,24874,15512.59413692189
46,0,15,11,23163,16530.52687615245
53,0,4,1,12674,12254.322693219707
42,0,21,1,22748,15615.142262134934
38,1,13,8,8676,7771.698627156338
53,1,22,0,7426,10005.978008952272
27,1,19,7,7962,7791.926622405485
54,0,34,5,5859,8763.350803897947
26,1,14,5,17048,11304.450573089538
41,1,4,17,9138,8750.536227335035
52,0,48,16,7424,10515.312108782568
66,1,46,11,15409,16370.524645684041
52,1,27,5,9017,10699.94089929756
65,0,29,7,15451,15533.362321291515
53,0,47,18,15278,14828.864165845505
35,0,28,9,15996,12327.940425720453
66,1,35,0,6134,10858.670218955658
56,1,8,12,10119,11502.015281456399
49,1,16,16,10694,11716.722857576568
41,0,42,2,9164,9352.225529419122
40,0,36,7,23730,15925.944180227307
49,1,30,13,10039,11382.125507436538
54,1,18,2,19631,15760.38476030303
29,0,2,15,15442,10962.976949839382
66,0,49,12,13252,14445.923593846255
30,0,13,19,22721,16467.84316295106
40,0,4,16,22568,15522.902673732864
42,1,26,12,6551,7878.848346586833
52,0,25,5,17625,14705.142116746676
58,1,30,16,6629,10734.74543898648
47,1,11,13,22910,17854.200993264614
34,1,7,16,6361,7479.182481694786
66,0,31,7,9370,11479.795628010284
37,0,44,10,10283,11006.9321353589
65,0,10,19,12610,13565.265650461452
42,0,39,0,15558,12340.145284052514
39,1,13,6,19924,13712.303771450323
30,0,31,16,19839,14437.664359667728
36,0,7,9,16949,12603.914693093207
66,1,49,10,15626,15815.537688472925
53,0,42,8,6993,10519.751559535965
29,1,42,8,5869,6463.422704245178
58,1,36,4,6014,10280.077314136824
36,1,20,16,15103,11721.921338603155
29,1,4,8,21986,15245.003686956177
26,1,7,16,17013,11975.86950799657
24,1,1,18,5690,5294.880735111811
45,1,44,6,21873,15433.79095833976
31,1,45,8,15748,12468.462361139505
48,0,42,6,13024,12144.909862004908
69,0,47,12,21678,18961.217152739082
36,0,13,10,10488,9787.098004587053
64,0,22,13,16035,15752.706913125328
33,1,21,18,24296,16969.855170334646
22,0,22,10,23257,13981.079345808532
52,1,28,12,17855,15710.447374812295
29,0,9,13,24642,15501.477331915925
42,0,26,12,7817,7860.375032625887
69,0,9,0,9458,11219.779826569977
38,1,15,7,10307,9522.512546066282
53,0,10,11,13933,12307.09287695943
40,1,24,18,23425,16638.47776541198
33,1,42,11,22063,15620.62624376459
56,0,8,7,15659,13708.807298445357
62,0,24,7,10738,12011.822831071642
59,0,16,12,10668,11288.651968505887
56,1,49,11,19427,16584.471904107668
31,0,26,15,12697,9386.021306207633
48,1,27,0,21446,15670.00097914029
22,1,37,12,12829,9200.60794546962
52,0,4,6,15751,13215.811574245543
40,0,24,4,18450,13718.335100345364
46,1,19,7,12352,11795.978337216873
60,1,36,13,18516,17109.7386386248
28,1,39,12,13326,9994.110579881515
35,0,10,14,8644,9438.416312635014
64,1,25,16,13003,13441.852200239284
29,0,18,14,8278,7905.263391461545
26,1,19,19,12296,9903.431494574159
27,1,36,17,8074,9139.291376291254
61,0,10,17,18261,15669.358831118669
34,1,33,1,16173,11228.130993510973
55,0,5,3,13312,13091.18973509649
24,0,47,0,6637,6241.813220602283
63,1,49,3,18652,16465.205709712205
30,0,35,17,10103,8702.625173036913
57,0,44,4,22028,17534.64811347554
59,1,34,18,7032,10165.80423189728
26,0,33,14,7761,7898.7209082473855
67,0,21,7,20195,17467.89581486099
44,0,17,19,23452,16695.47241969266
19,1,22,16,21625,14080.435988329464
22,0,48,0,7668,7121.498375337299
46,1,37,11,19638,14515.975874777972
54,1,15,18,20954,17126.851657042153
55,0,35,14,22186,17805.433941926316
36,0,28,8,17356,13773.366243795772
25,0,7,6,5195,5479.458713171322
65,1,32,1,7187,10317.645324716203
62,0,11,8,16707,14911.352333349081
18,0,10,9,7330,6336.95966544036
39,0,9,1,8606,8027.6314701495685
69,0,14,18,5060,10029.85160644622
34,0,13,10,19387,13542.655710000467
24,1,25,12,8927,7098.814194892064
42,1,2,9,11296,9729.838287685712
62,0,35,13,18622,16687.275095902096
21,0,7,17,19125,12913.738873826504
53,0,21,18,7591,10214.073492355237
23,0,18,8,17127,11440.569370315488
48,1,3,6,20748,14948.364613023845
36,0,42,2,11121,10608.080205860117
61,1,39,19,6200,10716.75274997342
56,1,41,5,20721,16527.13511824038
44,0,49,1,24238,17978.324229342452
27,1,11,5,16087,11343.288530755233
43,1,39,2,11972,10669.234825316882
36,1,24,15,5136,6997.3108718679
56,1,46,7,22413,17640.11363587853
20,0,19,1,20346,13899.768970015803
62,0,4,16,23978,19014.87244156283
30,1,26,8,5661,6633.8810274241205
67,0,38,11,7472,11762.331528038356
45,0,42,2,5086,8632.581294098749
37,0,32,10,15704,12450.309927780767
45,0,39,0,11219,10594.545351067121
25,0,45,12,21322,14843.141614048709
58,1,46,14,19749,16877.027716999342
56,0,36,4,11968,11889.052335459748
18,0,40,16,24157,14526.156784121971
20,0,37,5,18596,12952.648275419766
30,0,33,10,6700,7375.822283459643
45,1,36,17,7700,9235.216308003799
66,1,3,3,16821,14993.332544478968
42,1,9,2,23031,16309.222359004176
